report_date,region,class,type,volume,pct_chg
2017-12-04,Northwest (NW),Total,,103.8,0.8%
2017-12-04,Northwest (NW),Ungraded,,16.6,19.5%
2017-12-04,South Central (SC),,Cage-Free,4.9,-34.4%
2017-12-04,South Central (SC),,Organic,5.2,-1.6%
2017-12-04,South Central (SC),,Specialty,3.7,-30.6%
2017-12-04,South Central (SC),Extra Large,,33.3,42.8%
2017-12-04,South Central (SC),Jumbo,,8.0,-16.3%
2017-12-04,South Central (SC),Large,,147.4,19.4%
2017-12-04,South Central (SC),Medium,,26.4,10.9%
2017-12-04,South Central (SC),Misc,,19.8,11.7%
2017-12-04,South Central (SC),Small,,2.4,-27.0%
2017-12-04,South Central (SC),Total,,252.3,16.3%
2017-12-04,South Central (SC),Ungraded,,15.0,-5.0%
2017-12-04,Southeast (SE),,Cage-Free,9.0,-13.7%
2017-12-04,Southeast (SE),,Organic,6.9,-4.7%
2017-12-04,Southeast (SE),,Specialty,20.2,6.2%
2017-12-04,Southeast (SE),Extra Large,,31.4,13.9%
2017-12-04,Southeast (SE),Jumbo,,12.5,6.6%
2017-12-04,Southeast (SE),Large,,120.3,3.4%
2017-12-04,Southeast (SE),Medium,,20.2,1.2%
2017-12-04,Southeast (SE),Misc,,11.5,9.3%
2017-12-04,Southeast (SE),Small,,2.2,-15.8%
2017-12-04,Southeast (SE),Total,,245.3,5.8%
2017-12-04,Southeast (SE),Ungraded,,47.2,9.8%
2017-12-04,Southwest (SW),,Cage-Free,4.9,-32.3%
2017-12-04,Southwest (SW),,Organic,12.0,71.5%
2017-12-04,Southwest (SW),,Specialty,2.3,22.4%
2017-12-04,Southwest (SW),Extra Large,,29.0,20.8%
2017-12-04,Southwest (SW),Jumbo,,8.0,-12.1%
2017-12-04,Southwest (SW),Large,,112.5,27.6%
2017-12-04,Southwest (SW),Medium,,23.1,4.7%
2017-12-04,Southwest (SW),Misc,,4.6,6.9%
2017-12-04,Southwest (SW),Small,,1.7,-38.7%
2017-12-04,Southwest (SW),Total,,194.4,22.4%
2017-12-04,Southwest (SW),Ungraded,,15.5,80.4%
2017-12-11,,Breaking Stock,,281.8,-4.3%
2017-12-11,6-Area,,Cage-Free,43.9,6.5%
2017-12-11,6-Area,,Organic,72.2,12.9%
2017-12-11,6-Area,,Specialty,32.0,-9.1%
2017-12-11,6-Area,Extra Large,,164.9,-2.0%
2017-12-11,6-Area,Jumbo,,60.8,2.5%
2017-12-11,6-Area,Large,,648.0,3.2%
2017-12-11,6-Area,Medium,,154.0,8.3%
2017-12-11,6-Area,Misc,,76.4,-2.6%
2017-12-11,6-Area,Small,,17.4,-6.2%
2017-12-11,6-Area,Total,,1323.6,3.5%
2017-12-11,6-Area,Ungraded,,202.1,9.6%
2017-12-11,Midwest (MW),,Cage-Free,19.7,-1.9%
2017-12-11,Midwest (MW),,Organic,33.3,5.7%
2017-12-11,Midwest (MW),,Specialty,1.1,-24.1%
2017-12-11,Midwest (MW),Extra Large,,33.7,4.8%
2017-12-11,Midwest (MW),Jumbo,,12.5,-14.3%
2017-12-11,Midwest (MW),Large,,104.4,-3.3%
2017-12-11,Midwest (MW),Medium,,57.7,24.7%
2017-12-11,Midwest (MW),Misc,,34.8,-9.9%
2017-12-11,Midwest (MW),Small,,5.7,-31.8%
2017-12-11,Midwest (MW),Total,,341.0,4.9%
2017-12-11,Midwest (MW),Ungraded,,92.2,19.9%
2017-12-11,Northeast (NE),,Cage-Free,1.4,-16.9%
2017-12-11,Northeast (NE),,Organic,7.0,-7.9%
2017-12-11,Northeast (NE),,Specialty,6.0,22.9%
2017-12-11,Northeast (NE),Extra Large,,41.4,12.3%
2017-12-11,Northeast (NE),Jumbo,,17.0,49.5%
2017-12-11,Northeast (NE),Large,,73.7,-4.7%
2017-12-11,Northeast (NE),Medium,,15.1,-2.5%
2017-12-11,Northeast (NE),Misc,,2.7,2.9%
2017-12-11,Northeast (NE),Small,,3.4,102.8%
2017-12-11,Northeast (NE),Total,,169.8,7.1%
2017-12-11,Northeast (NE),Ungraded,,16.3,24.7%
2017-12-11,Northwest (NW),,Cage-Free,0.7,-0.6%
2017-12-11,Northwest (NW),,Organic,0.9,12.3%
2017-12-11,Northwest (NW),,Specialty,1.2,-54.6%
2017-12-11,Northwest (NW),Extra Large,,6.2,12.0%
2017-12-11,Northwest (NW),Jumbo,,4.7,-1.4%
2017-12-11,Northwest (NW),Large,,70.2,12.2%
2017-12-11,Northwest (NW),Medium,,13.7,27.7%
2017-12-11,Northwest (NW),Misc,,1.4,-3.6%
2017-12-11,Northwest (NW),Small,,1.8,-18.4%
2017-12-11,Northwest (NW),Total,,108.7,4.8%
2017-12-11,Northwest (NW),Ungraded,,10.8,-34.9%
