release_date,week_ending_date,hatchability_pct,source,txt_url,pdf_url
2015-09-02,,84.0,seed,,
2015-09-10,,84.0,seed,,
2015-09-16,,84.0,seed,,
2015-09-23,,84.0,seed,,
2015-09-30,,84.0,seed,,
2015-10-07,,84.0,seed,,
2015-10-14,,84.0,seed,,
2015-10-21,,84.0,seed,,
2015-10-28,,83.0,seed,,
2015-11-04,,84.0,seed,,
2015-11-12,,84.0,seed,,
2015-11-18,,84.0,seed,,
2015-11-25,,84.0,seed,,
2015-12-02,,84.0,seed,,
2015-12-09,,84.0,seed,,
2015-12-16,,84.0,seed,,
2015-12-23,,84.0,seed,,
2015-12-30,,84.0,seed,,
2016-01-06,,84.0,seed,,
2016-01-13,,84.0,seed,,
2016-01-20,,84.0,seed,,
2016-01-27,,84.0,seed,,
2016-02-03,,84.0,seed,,
2016-02-10,,84.0,seed,,
2016-02-17,,83.0,seed,,
2016-02-24,,83.0,seed,,
2016-03-02,,84.0,seed,,
2016-03-09,,84.0,seed,,
2016-03-16,,84.0,seed,,
2016-03-23,,84.0,seed,,
2016-03-30,,84.0,seed,,
2016-04-06,,84.0,seed,,
2016-04-13,,84.0,seed,,
2016-04-20,,84.0,seed,,
2016-04-27,,84.0,seed,,
2016-05-04,,84.0,seed,,
2016-05-11,,84.0,seed,,
2016-05-18,,84.0,seed,,
2016-05-25,,84.0,seed,,
2016-06-02,,84.0,seed,,
2016-06-08,,84.0,seed,,
2016-06-15,,84.0,seed,,
2016-06-22,,84.0,seed,,
2016-06-29,,84.0,seed,,
2016-07-06,,84.0,seed,,
2016-07-13,,84.0,seed,,
2016-07-20,,84.0,seed,,
2016-07-27,,84.0,seed,,
2016-08-03,,84.0,seed,,
2016-08-10,,84.0,seed,,
2016-08-17,,84.0,seed,,
2016-08-24,,84.0,seed,,
2016-08-31,,84.0,seed,,
2016-09-08,,84.0,seed,,
2016-09-14,,84.0,seed,,
2016-09-21,,84.0,seed,,
2016-09-28,,84.0,seed,,
2016-10-05,,84.0,seed,,
2016-10-12,,84.0,seed,,
2016-10-19,,84.0,seed,,
2016-10-26,,84.0,seed,,
2016-11-02,,84.0,seed,,
2016-11-09,,83.0,seed,,
2016-11-16,,84.0,seed,,
2016-11-23,,84.0,seed,,
2016-11-30,,84.0,seed,,
2016-12-07,,84.0,seed,,
2016-12-14,,84.0,seed,,
2016-12-21,,84.0,seed,,
2016-12-28,,84.0,seed,,
2017-01-04,,83.0,seed,,
2017-01-11,,83.0,seed,,
2017-01-18,,83.0,seed,,
2017-01-25,,83.0,seed,,
2017-02-01,,83.0,seed,,
2017-02-08,,83.0,seed,,
2017-02-15,,83.0,seed,,
2017-02-22,,83.0,seed,,
2017-03-01,,83.0,seed,,
2017-03-08,,83.0,seed,,
2017-03-15,,83.0,seed,,
2017-03-22,,83.0,seed,,
2017-03-29,,83.0,seed,,
2017-04-05,,83.0,seed,,
2017-04-12,,83.0,seed,,
2017-04-19,,83.0,seed,,
2017-04-26,,83.0,seed,,
2017-05-03,,83.0,seed,,
2017-05-10,,83.0,seed,,
2017-05-17,,83.0,seed,,
2017-05-24,,83.0,seed,,
2017-06-01,,83.0,seed,,
2017-06-07,,83.0,seed,,
2017-06-14,,83.0,seed,,
2017-06-21,,83.0,seed,,
2017-06-28,,83.0,seed,,
2017-07-06,,83.0,seed,,
2017-07-12,,83.0,seed,,
2017-07-19,,83.0,seed,,
2017-07-26,,83.0,seed,,
2017-08-02,,83.0,seed,,
2017-08-09,,83.0,seed,,
2017-08-16,,83.0,seed,,
2017-08-23,,83.0,seed,,
2017-08-30,,83.0,seed,,
2017-09-07,,83.0,seed,,
2017-09-13,,83.0,seed,,
2017-09-20,,83.0,seed,,
2017-09-27,,83.0,seed,,
2017-10-04,,83.0,seed,,
2017-10-11,,83.0,seed,,
2017-10-18,,83.0,seed,,
2017-10-25,,83.0,seed,,
2017-11-01,,83.0,seed,,
2017-11-08,,83.0,seed,,
2017-11-15,,83.0,seed,,
2017-11-22,,83.0,seed,,
2017-11-29,,83.0,seed,,
2017-12-06,,82.0,seed,,
2017-12-13,,83.0,seed,,
2017-12-20,,83.0,seed,,
2017-12-28,,82.0,seed,,
2018-01-04,,82.0,seed,,
2018-01-10,,82.0,seed,,
2018-01-17,,82.0,seed,,
2018-01-24,,82.0,seed,,
2018-01-31,,82.0,seed,,
2018-02-07,,82.0,seed,,
2018-02-14,,81.0,seed,,
2018-02-21,,82.0,seed,,
2018-02-28,,82.0,seed,,
2018-03-07,,82.0,seed,,
2018-03-14,,82.0,seed,,
2018-03-21,,82.0,seed,,
2018-03-28,,82.0,seed,,
2018-04-04,,82.0,seed,,
2018-04-11,,82.0,seed,,
2018-04-18,,82.0,seed,,
2018-04-25,,82.0,seed,,
2018-05-02,,82.0,seed,,
2018-05-09,,81.0,seed,,
2018-05-16,,82.0,seed,,
2018-05-23,,82.0,seed,,
2018-05-31,,82.0,seed,,
2018-06-06,,82.0,seed,,
2018-06-13,,83.0,seed,,
2018-06-20,,83.0,seed,,
2018-06-27,,83.0,seed,,
2018-07-05,,83.0,seed,,
2018-07-11,,83.0,seed,,
2018-07-18,,83.0,seed,,
2018-07-25,,83.0,seed,,
2018-08-01,,83.0,seed,,
2018-08-08,,83.0,seed,,
2018-08-15,,83.0,seed,,
2018-08-22,,83.0,seed,,
2018-08-29,,83.0,seed,,
2018-09-06,,83.0,seed,,
2018-09-12,,83.0,seed,,
2018-09-19,,82.8,seed,,
2018-09-26,,83.1,seed,,
2018-10-03,,82.6,seed,,
2018-10-10,,82.5,seed,,
2018-10-17,,82.5,seed,,
2018-10-24,,82.7,seed,,
2018-10-31,,82.6,seed,,
2018-11-07,,82.6,seed,,
2018-11-14,,82.6,seed,,
