report_date,class,period,volume
2019-06-03,Liquid Whole,PW % Change,0.0
2019-06-03,Liquid Whole,Previous Month Total,183447.0
2019-06-03,Liquid Whole,Prior Week,35773.0
2019-06-03,Liquid Whole,YTD % Change,0.0
2019-06-03,Liquid Yolk,2018 Year to date,163941.0
2019-06-03,Liquid Yolk,2019 Year to date,185145.0
2019-06-03,Liquid Yolk,Current Week,8373.0
2019-06-03,Liquid Yolk,LY % Change,0.0
2019-06-03,Liquid Yolk,Last Year,7737.0
2019-06-03,Liquid Yolk,PW % Change,0.0
2019-06-03,Liquid Yolk,Previous Month Total,42238.0
2019-06-03,Liquid Yolk,Prior Week,7929.0
2019-06-03,Liquid Yolk,YTD % Change,0.0
2019-06-03,Yield W/O Inedible,2018 Year to date,0.0
2019-06-03,Yield W/O Inedible,2019 Year to date,0.0
