year,reference_period,class,value,unit,agg_level,state_alpha
2010,JAN,TABLE,72000000.0,EGGS,STATE,SC
2010,JAN,ALL CLASSES,59000000.0,EGGS,STATE,SD
2010,JAN,TABLE,59000000.0,EGGS,STATE,SD
2010,JAN,ALL CLASSES,412000000.0,EGGS,STATE,TX
2010,JAN,TABLE,,EGGS,STATE,TX
2010,JAN,ALL CLASSES,77000000.0,EGGS,STATE,UT
2010,JAN,TABLE,77000000.0,EGGS,STATE,UT
2010,JAN,ALL CLASSES,58000000.0,EGGS,STATE,VA
2010,JAN,TABLE,27000000.0,EGGS,STATE,VA
2010,JAN,ALL CLASSES,147000000.0,EGGS,STATE,WA
2010,JAN,TABLE,,EGGS,STATE,WA
2010,JAN,ALL CLASSES,113000000.0,EGGS,STATE,WI
2010,JAN,TABLE,,EGGS,STATE,WI
2010,JUL,ALL CLASSES,7756000000.0,EGGS,NATIONAL,
2010,JUL,TABLE,6637000000.0,EGGS,NATIONAL,
2010,JUL,"HATCHING, BROILER TYPE",1047000000.0,EGGS,NATIONAL,
2010,JUL,ALL CLASSES,187000000.0,EGGS,STATE,AL
2010,JUL,TABLE,32000000.0,EGGS,STATE,AL
2010,JUL,ALL CLASSES,253000000.0,EGGS,STATE,AR
2010,JUL,TABLE,77000000.0,EGGS,STATE,AR
2010,JUL,ALL CLASSES,444000000.0,EGGS,STATE,CA
2010,JUL,TABLE,,EGGS,STATE,CA
2010,JUL,ALL CLASSES,90000000.0,EGGS,STATE,CO
2010,JUL,TABLE,,EGGS,STATE,CO
2010,JUL,ALL CLASSES,59000000.0,EGGS,STATE,CT
2010,JUL,TABLE,,EGGS,STATE,CT
2010,JUL,ALL CLASSES,211000000.0,EGGS,STATE,FL
2010,JUL,TABLE,206000000.0,EGGS,STATE,FL
2010,JUL,ALL CLASSES,363000000.0,EGGS,STATE,GA
2010,JUL,TABLE,188000000.0,EGGS,STATE,GA
2010,JUL,ALL CLASSES,6000000.0,EGGS,STATE,HI
2010,JUL,TABLE,6000000.0,EGGS,STATE,HI
2010,JUL,ALL CLASSES,1254000000.0,EGGS,STATE,IA
2010,JUL,TABLE,1241000000.0,EGGS,STATE,IA
2010,JUL,ALL CLASSES,106000000.0,EGGS,STATE,IL
2010,JUL,TABLE,103000000.0,EGGS,STATE,IL
2010,JUL,ALL CLASSES,550000000.0,EGGS,STATE,IN
2010,JUL,TABLE,538000000.0,EGGS,STATE,IN
2010,JUL,ALL CLASSES,53000000.0,EGGS,STATE,MD
2010,JUL,TABLE,51000000.0,EGGS,STATE,MD
2010,JUL,ALL CLASSES,88000000.0,EGGS,STATE,ME
2010,JUL,TABLE,,EGGS,STATE,ME
2010,JUL,ALL CLASSES,257000000.0,EGGS,STATE,MI
2010,JUL,TABLE,,EGGS,STATE,MI
2010,JUL,ALL CLASSES,242000000.0,EGGS,STATE,MN
2010,JUL,TABLE,233000000.0,EGGS,STATE,MN
2010,JUL,ALL CLASSES,172000000.0,EGGS,STATE,MO
2010,JUL,TABLE,,EGGS,STATE,MO
